City_state,Individuals,latitude,longitude,
"Roanoke, VA",22,37.27097,-79.941427,
"Springfield, VA",4,38.78928,-77.187204,
"Stafford, VA",12,38.422069,-77.408309,
"Yorktown, VA",2,37.238756,-76.509673,
"Everett, WA",8,47.978985,-122.202079,
"Kennewick, WA",16,46.211246,-119.137234,
"Kent, WA",102,47.380934,-122.234843,
"Kirkland, WA",6,47.681488,-122.208735,
"Lynnwood, WA",2,47.82093,-122.315131,
"Mukilteo, WA",4,47.94454,-122.304581,
"Pasco, WA",8,46.239579,-119.100566,
"Richland, WA",24,46.285691,-119.284462,
"Seattle, WA",166,47.60621,-122.332071,
"Spokane, WA",42,47.65878,-117.426047,
"Vancouver, WA",18,45.638728,-122.661486,
"Woodinville, WA",8,47.754265,-122.163458,
"Charleston, WV",2,38.34982,-81.632623,
"Moorefield, WV",6,39.06233,-78.969472,
"Green Bay, WI",6,44.519159,-88.019826,
"Madison, WI",26,43.073052,-89.40123,
"Milwaukee, WI",92,43.038903,-87.906474,
"Oshkosh, WI",30,44.024706,-88.542614,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,12012,,,
